Price,Close,High,Low,Open,Volume
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS
Date,,,,,
2016-07-21,607.866943359375,618.6719393484111,580.3317064873829,581.2030754160426,11824029
2016-07-22,609.9583129882812,617.5392340865359,606.6471213546023,609.9583129882812,820402
2016-07-25,603.9024047851562,610.8298004629003,602.9874777750741,610.8298004629003,260240
2016-07-26,603.1180419921875,611.2653204277249,601.2445774698933,605.5143066125385,312995
2016-07-27,601.1575927734375,607.9107036288126,598.6741588064536,603.0745623399,168708
2016-07-28,592.4437866210938,607.3441748009467,590.6574376773071,602.6387610682871,375033
2016-07-29,602.8131713867188,609.9584091015965,596.8878717637052,601.2447175430024,726870
2016-08-01,598.5433349609375,606.7777287425608,594.7964060417308,605.4706753570157,347573
2016-08-02,595.71142578125,601.2445975429523,594.709330178355,596.9313104454897,268056
2016-08-03,592.5308227539062,599.5017736098346,590.5266850196538,596.8876670388614,116318
2016-08-04,593.4459228515625,596.0164723677564,591.7467424470175,594.3172919632113,134769
2016-08-05,607.9107055664062,623.0289389655458,593.8380725944328,594.230199346696,593783
2016-08-08,610.7424926757812,616.9291906872668,606.7341637636581,609.9582393800661,347844
2016-08-09,608.47705078125,619.5434493315983,606.7343125271527,612.7467807774487,341932
2016-08-10,601.4625854492188,610.7862464508547,601.2447431509756,609.8713194350646,84904
2016-08-11,596.0599975585938,607.3442375735837,594.7093861462996,602.1160231898799,96842
2016-08-12,597.0620727539062,602.2031181441937,595.145050242212,598.3255684900781,74615
2016-08-16,594.2301635742188,599.5019359497377,593.6637523901417,597.0621131263069,64845
2016-08-17,591.6160278320312,602.5516987855987,590.0911319927329,594.3608084322806,90769
2016-08-18,588.130615234375,594.1430304262219,587.3028039095416,592.3567343152562,152898
2016-08-19,579.1119384765625,592.4439295405552,577.4128111148987,588.174199264823,222490
2016-08-22,571.6616821289062,581.2031843224539,570.7467552192014,580.2882574127491,132422
2016-08-23,562.86083984375,576.7591866147231,561.1616595855053,570.8338346183675,221090
2016-08-24,557.5454711914062,565.9106460692532,556.2384176027564,562.9044121785292,188676
2016-08-25,569.7881469726562,579.286036105329,557.7196557550457,557.7196557550457,283053
2016-08-26,564.472900390625,575.0164985614301,563.4272468188877,570.7903264556899,86564
2016-08-29,558.4603271484375,564.1677825803886,557.501789485948,561.5972337904478,66739
2016-08-30,567.9147338867188,574.9728013656242,558.9832018232912,561.1616242777858,141778
