Price,Close,High,Low,Open,Volume
Ticker,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS
Date,,,,,
2006-05-30,140.32594299316406,145.43903640852213,139.60632139924655,143.92403820938262,4887736
2006-05-31,134.53111267089844,137.86409103220547,129.7210135372545,137.86409103220547,7558531
2006-06-01,126.16081237792969,138.58373105432156,122.86569833367221,137.10661008597364,7618233
2006-06-02,136.1597137451172,137.82619634132044,123.5852882542169,127.25913821982247,10479963
2006-06-05,129.0392608642578,139.37906732553625,128.39539428992845,139.37906732553625,7455082
2006-06-06,121.95671081542969,127.18342480694167,119.83572320959222,127.18342480694167,7937041
2006-06-07,116.9950942993164,124.15341989319255,111.38963163814685,120.36594994773102,7722096
2006-06-08,115.13923645019531,121.5779404374887,105.02667591515012,112.14713035691682,13904624
2006-06-09,120.85833740234375,122.71419514854034,113.70001073362738,114.04088282483433,9178571
2006-06-12,115.70734405517578,122.63842986457699,114.38173345000865,120.44168768606563,5860930
2006-06-13,112.71526336669922,114.60901144686069,109.87466675319928,113.62425989450249,7084622
2006-06-14,108.73839569091797,118.16920563934163,106.88253187885424,118.16920563934163,7436447
2006-06-15,115.82098388671875,117.63896389575326,106.84466534657574,110.59427063651975,8628182
2006-06-16,118.16920471191406,132.56161054773153,116.6542193225427,117.52533815327071,9053039
2006-06-19,121.38855743408203,122.5626707380603,116.80571121893841,119.68419735518329,4741969
2006-06-20,120.59320068359375,125.3654224409693,117.07086019366528,121.1992025629587,8831551
2006-06-21,123.58528137207031,126.46376738223064,118.92669310934835,118.92669310934835,8442576
2006-06-22,129.8724822998047,132.1828439668634,125.74414095060533,126.50163992429455,8344486
2006-06-23,129.75889587402344,130.8193896081506,125.17604886250028,126.50167240684428,5009394
2006-06-26,121.95671081542969,132.5616360912462,120.13871779517731,131.80413687391257,6993072
2006-06-27,122.25968933105469,124.1534243721031,117.07085353311037,123.47168026746044,7870913
2006-06-28,124.79727935791016,125.59265590823034,117.48745691308581,121.5779339136958,4809386
2006-06-29,123.09294128417969,134.83411485147272,122.03244752954056,134.83411485147272,5017445
