Price,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,
2005-12-05,38.25320053100586,39.3435638920664,38.067702927895745,39.17164025716773,7580968
2005-12-06,38.71017074584961,39.22141919393527,37.93198694151487,38.36632030424952,13845545
2005-12-07,39.48835754394531,39.805060064957694,38.63778426996001,38.773514798467595,9868061
2005-12-08,39.397857666015625,39.80052342913201,38.46584701696759,39.54715904698764,16678550
2005-12-09,39.94530487060547,40.07650968112864,39.262129810826245,39.45215311014155,7444461
2005-12-12,39.52906036376953,40.42940348538427,38.909229546459294,40.076504868042136,7502444
2005-12-13,40.61491012573242,40.71897007627714,39.244037254620046,39.54264313540916,14450763
2005-12-14,40.28011703491211,41.14426431771614,39.995085061120484,40.62849012915923,9505866
2005-12-15,39.6693229675293,40.6284785903507,39.42048423709405,40.28010559504426,13027830
2005-12-16,39.972450256347656,40.139851298150624,39.370715937276,39.814100573134816,12101963
2005-12-19,41.26188278198242,41.38856190709911,40.13984882594186,40.13984882594186,16181750
2005-12-20,42.05364990234375,42.234621875461286,41.44286412362115,41.62383916499635,22560061
2005-12-21,41.47904968261719,42.347719225549184,41.03113940864266,42.166747299013274,9752399
2005-12-22,41.84553146362305,42.34773162160863,41.29356416468505,41.80481261482037,7114426
2005-12-23,42.11698913574219,42.52870327107423,34.83734259609674,41.99482953083769,13071821
2005-12-26,41.05829620361328,42.26176499075874,40.9270883068973,42.26176499075874,8182168
2005-12-27,41.827430725097656,41.9812578128808,40.58324005182722,40.92708739239778,5918230
2005-12-28,41.29807662963867,42.257235249194636,40.8999365315852,41.985774278369945,6125901
2005-12-29,41.92243576049805,42.0717402241168,40.8230239770381,41.51524734745999,12984381
2005-12-30,41.926963806152344,42.2572402345933,41.352374316099954,41.886244962550435,9731030
2006-01-02,41.77766036987305,42.031021710152444,41.19854522836902,41.80480524153459,5739386
2006-01-03,42.8001594543457,43.0716204589872,41.479056800125335,41.71432157229451,10226186
2006-01-04,43.533111572265625,43.886010344577585,43.02638568068451,43.02638568068451,10237021
2006-01-05,42.89516830444336,43.795508490304194,42.7322929396249,43.61453654456305,7463430
2006-01-06,42.77301025390625,42.981130131859075,40.809451519204615,42.981130131859075,8838764
2006-01-09,41.70977783203125,43.21638053938511,40.922546168659224,42.981115869087084,7719617
2006-01-10,41.592166900634766,42.15770812871371,41.27546135830453,41.75956489500071,10229670
2006-01-12,41.7459831237793,42.07625948318405,40.54251158100917,41.080904726290065,8517679
2006-01-13,41.628360748291016,42.053648863344804,41.37952199020909,41.62383813661653,8085101
