Price,Close,High,Low,Open,Volume
Ticker,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS,BAJAJFINSV.NS
Date,,,,,
2006-04-21,2910.687744140625,2951.31109755641,2873.001018682608,2936.627957767572,146300
2006-04-24,2874.273681640625,2925.860399672905,2848.529194730061,2917.0505155654923,90300
2006-04-25,2772.6171875,2873.979841773393,2760.4302294962426,2858.3178262868896,173700
2006-04-26,2890.718505859375,2897.4726539526046,2799.683047475053,2814.2682027411274,225800
2006-04-27,2866.197265625,2960.8055138451587,2863.21164670954,2877.8947833593325,294100
2006-04-28,2866.197265625,2866.197265625,2866.197265625,2866.197265625,0
2006-05-02,3053.50537109375,3062.902675278558,2965.9939616791403,2975.7827206285765,375700
2006-05-03,3065.93798828125,3083.459775220082,2937.753969296073,3058.987872242145,173000
2006-05-04,3019.9794921875,3103.0372245321473,3001.3320937441626,3083.4597026108086,111600
2006-05-05,3046.115234375,3063.832745760085,3012.980187724313,3054.09297781022,74900
2006-05-08,3064.22509765625,3095.2064326745603,3045.2837482765835,3063.8334038003204,71200
2006-05-09,3099.5615234375,3147.085995836938,3021.789881539231,3092.0242268584534,196800
2006-05-10,3123.397705078125,3181.347118642563,3112.825796087185,3134.361068890304,246700
2006-05-11,3079.446044921875,3159.8118635631104,3068.825383256263,3109.8891854213143,83500
2006-05-12,3092.70947265625,3132.4519305374642,3040.388602613362,3068.8249958401466,94200
2006-05-15,2975.147216796875,3110.8682945974424,2938.586098295004,3102.05840955925,213800
2006-05-16,3075.2861328125,3120.6571375417134,2848.5295703407733,2980.6778493772013,167100
2006-05-17,3200.190673828125,3254.7630161286274,3078.5653190148973,3083.4596994902786,359100
2006-05-18,2941.473876953125,3133.480579633584,2902.3678220546744,3133.480579633584,287200
2006-05-19,2886.949951171875,3147.0862398974577,2584.232557800712,3012.0013561942387,489300
2006-05-22,2810.255126953125,3024.7269628578665,2721.2753905323198,2945.4380036373204,360900
2006-05-23,2913.72265625,2926.839500222848,2549.9722067158928,2750.7397877593294,328900
2006-05-24,2791.069091796875,2921.9447607549496,2741.9295660625985,2917.050380921189,446800
2006-05-25,2723.527099609375,2780.0082044165033,2644.923298708941,2741.9300186183955,457900
2006-05-26,2858.0732421875,2926.839282178483,2750.7395828340814,2780.007880062505,271900
2006-05-29,2806.7802734375,2915.7779757248054,2789.796678764641,2882.6919181940034,155900
2006-05-30,2776.924560546875,2834.7269989159977,2741.8317592875155,2806.78027945379,116500
2006-05-31,2776.924560546875,2776.924560546875,2776.924560546875,2776.924560546875,0
2006-06-01,2562.1103515625,2759.4518799313864,2500.734864463232,2734.9799760653755,335800
2006-06-02,2663.325927734375,2706.1027620875316,2510.816995751318,2564.655176946765,222500
2006-06-05,2620.744873046875,2680.1626009543306,2575.4228645401186,2680.1626009543306,256800
2006-06-06,2547.916259765625,2603.810175287141,2477.045732542899,2603.810175287141,134100
2006-06-07,2500.83251953125,2609.6834858479574,2448.462652129575,2545.077668118788,188400
2006-06-08,2325.80908203125,2466.767208214962,2275.8864123411854,2427.612173163931,184100
2006-06-09,2432.310546875,2447.1894106953596,2256.3086366611215,2290.4713052410925,133100
2006-06-12,2318.321044921875,2452.524799668912,2251.4147754578453,2427.612453537155,108400
2006-06-13,2199.093994140625,2251.414870174744,2030.286870475726,2251.414870174744,492200
2006-06-14,2236.43798828125,2408.0350018609483,2032.1466113265565,2251.414839138285,228800
2006-06-15,2236.43798828125,2236.43798828125,2236.43798828125,2236.43798828125,0
2006-06-16,2236.43798828125,2236.43798828125,2236.43798828125,2236.43798828125,0
2006-06-19,2667.437255859375,2672.3316361453553,2525.9896655945386,2594.0215515696673,234100
2006-06-20,2563.529541015625,2642.965233839324,2520.850451275822,2642.965233839324,198000
2006-06-21,2564.802001953125,2592.0637956999044,2496.231925432612,2589.127167532571,120100
2006-06-22,2581.93212890625,2757.4936312306004,2554.8663036960834,2592.063590876333,114800
2006-06-23,2635.378662109375,2662.3467411591337,2505.9223233355,2556.8238705282524,139700
2006-06-26,2545.46923828125,2647.859770854806,2521.5847577530426,2647.859770854806,167500
2006-06-27,2531.32421875,2579.3381319633,2452.1332498743486,2545.077473663977,193300
2006-06-28,2634.74267578125,2642.965138396237,2454.042074799765,2454.042074799765,160800
2006-06-29,2573.611572265625,2665.9686124465807,2540.1830546351666,2642.965027944104,272400
2006-06-30,2690.685546875,2706.5922827137338,2623.387818326512,2652.754099874943,203000
2006-07-03,2684.812744140625,2774.8693561034133,2653.0482586960925,2706.592739968582,150700
2006-07-04,2705.270751953125,2739.8741165786655,2678.2049242440976,2739.8741165786655,122000
2006-07-05,2746.530029296875,2755.5356397188198,2678.2044441458934,2687.0143271858474,159700
2006-07-06,2707.864013671875,2731.063320967296,2682.2662696211946,2716.380184833063,89700
2006-07-07,2685.154541015625,2739.87360750135,2657.6480329997016,2726.1693450844086,155900
2006-07-10,2726.365234375,2740.558935578321,2619.472028971495,2657.648190828703,146100
2006-07-11,2711.1435546875,2745.7469135225692,2680.4069468638772,2738.1606252588263,164000
2006-07-12,2688.042236328125,2716.380646082472,2618.5420468247535,2682.1199892850354,204100
2006-07-13,2656.32666015625,2725.092696524761,2634.204206792855,2692.8877729505152,214300
2006-07-14,2586.973876953125,2623.3880210909856,2545.0779309091654,2623.3880210909856,356000
2006-07-17,2468.627197265625,2594.0213038091515,2459.4258588001862,2574.4437845351204,221300
